Date,RF
01/01/1980,0.008
02/01/1980,0.0089
03/01/1980,0.0121
04/01/1980,0.0126
05/01/1980,0.0081
06/01/1980,0.0061
07/01/1980,0.0053
08/01/1980,0.0064
09/01/1980,0.0075
10/01/1980,0.0095
11/01/1980,0.0096
12/01/1980,0.0131
01/01/1981,0.0104
02/01/1981,0.0107
03/01/1981,0.0121
04/01/1981,0.0108
05/01/1981,0.0115
06/01/1981,0.0135
07/01/1981,0.0124
08/01/1981,0.0128
09/01/1981,0.0124
10/01/1981,0.0121
11/01/1981,0.0107
12/01/1981,0.0087
01/01/1982,0.008
02/01/1982,0.0092
03/01/1982,0.0098
04/01/1982,0.0113
05/01/1982,0.0106
06/01/1982,0.0096
07/01/1982,0.0105
08/01/1982,0.0076
09/01/1982,0.0051
10/01/1982,0.0059
11/01/1982,0.0063
12/01/1982,0.0067
01/01/1983,0.0069
02/01/1983,0.0062
03/01/1983,0.0063
04/01/1983,0.0071
05/01/1983,0.0069
06/01/1983,0.0067
07/01/1983,0.0074
08/01/1983,0.0076
09/01/1983,0.0076
10/01/1983,0.0076
11/01/1983,0.007
12/01/1983,0.0073
01/01/1984,0.0076
02/01/1984,0.0071
03/01/1984,0.0073
04/01/1984,0.0081
05/01/1984,0.0078
06/01/1984,0.0075
07/01/1984,0.0082
08/01/1984,0.0083
09/01/1984,0.0086
10/01/1984,0.01
11/01/1984,0.0073
12/01/1984,0.0064
01/01/1985,0.0065
02/01/1985,0.0058
03/01/1985,0.0062
04/01/1985,0.0072
05/01/1985,0.0066
06/01/1985,0.0055
07/01/1985,0.0062
08/01/1985,0.0055
09/01/1985,0.006
10/01/1985,0.0065
11/01/1985,0.0061
12/01/1985,0.0065
01/01/1986,0.0056
02/01/1986,0.0053
03/01/1986,0.006
04/01/1986,0.0052
05/01/1986,0.0049
06/01/1986,0.0052
07/01/1986,0.0052
08/01/1986,0.0046
09/01/1986,0.0045
10/01/1986,0.0046
11/01/1986,0.0039
12/01/1986,0.0049
01/01/1987,0.0042
02/01/1987,0.0043
03/01/1987,0.0047
04/01/1987,0.0044
05/01/1987,0.0038
06/01/1987,0.0048
07/01/1987,0.0046
08/01/1987,0.0047
09/01/1987,0.0045
10/01/1987,0.006
11/01/1987,0.0035
12/01/1987,0.0039
01/01/1988,0.0029
02/01/1988,0.0046
03/01/1988,0.0044
04/01/1988,0.0046
05/01/1988,0.0051
06/01/1988,0.0049
07/01/1988,0.0051
08/01/1988,0.0059
09/01/1988,0.0062
10/01/1988,0.0061
11/01/1988,0.0057
12/01/1988,0.0063
01/01/1989,0.0055
02/01/1989,0.0061
03/01/1989,0.0067
04/01/1989,0.0067
05/01/1989,0.0079
06/01/1989,0.0071
07/01/1989,0.007
08/01/1989,0.0074
09/01/1989,0.0065
10/01/1989,0.0068
11/01/1989,0.0069
12/01/1989,0.0061
01/01/1990,0.0057
02/01/1990,0.0057
03/01/1990,0.0064
04/01/1990,0.0069
05/01/1990,0.0068
06/01/1990,0.0063
07/01/1990,0.0068
08/01/1990,0.0066
09/01/1990,0.006
10/01/1990,0.0068
11/01/1990,0.0057
12/01/1990,0.006
01/01/1991,0.0052
02/01/1991,0.0048
03/01/1991,0.0044
04/01/1991,0.0053
05/01/1991,0.0047
06/01/1991,0.0042
07/01/1991,0.0049
08/01/1991,0.0046
09/01/1991,0.0046
10/01/1991,0.0042
11/01/1991,0.0039
12/01/1991,0.0038
01/01/1992,0.0034
02/01/1992,0.0028
03/01/1992,0.0034
04/01/1992,0.0032
05/01/1992,0.0028
06/01/1992,0.0032
07/01/1992,0.0031
08/01/1992,0.0026
09/01/1992,0.0026
10/01/1992,0.0023
11/01/1992,0.0023
12/01/1992,0.0028
01/01/1993,0.0023
02/01/1993,0.0022
03/01/1993,0.0025
04/01/1993,0.0024
05/01/1993,0.0022
06/01/1993,0.0025
07/01/1993,0.0024
08/01/1993,0.0025
09/01/1993,0.0026
10/01/1993,0.0022
11/01/1993,0.0025
12/01/1993,0.0023
01/01/1994,0.0025
02/01/1994,0.0021
03/01/1994,0.0027
04/01/1994,0.0027
05/01/1994,0.0032
06/01/1994,0.0031
07/01/1994,0.0028
08/01/1994,0.0037
09/01/1994,0.0037
10/01/1994,0.0038
11/01/1994,0.0037
12/01/1994,0.0044
01/01/1995,0.0042
02/01/1995,0.004
03/01/1995,0.0046
04/01/1995,0.0044
05/01/1995,0.0054
06/01/1995,0.0047
07/01/1995,0.0045
08/01/1995,0.0047
09/01/1995,0.0043
10/01/1995,0.0047
11/01/1995,0.0042
12/01/1995,0.0049
01/01/1996,0.0043
02/01/1996,0.0039
03/01/1996,0.0039
04/01/1996,0.0046
05/01/1996,0.0042
06/01/1996,0.004
07/01/1996,0.0045
08/01/1996,0.0041
09/01/1996,0.0044
10/01/1996,0.0042
11/01/1996,0.0041
12/01/1996,0.0046
01/01/1997,0.0045
02/01/1997,0.0039
03/01/1997,0.0043
04/01/1997,0.0043
05/01/1997,0.0049
06/01/1997,0.0037
07/01/1997,0.0043
08/01/1997,0.0041
09/01/1997,0.0044
10/01/1997,0.0042
11/01/1997,0.0039
12/01/1997,0.0048
01/01/1998,0.0043
02/01/1998,0.0039
03/01/1998,0.0039
04/01/1998,0.0043
05/01/1998,0.004
06/01/1998,0.0041
07/01/1998,0.004
08/01/1998,0.0043
09/01/1998,0.0046
10/01/1998,0.0032
11/01/1998,0.0031
12/01/1998,0.0038
01/01/1999,0.0035
02/01/1999,0.0035
03/01/1999,0.0043
04/01/1999,0.0037
05/01/1999,0.0034
06/01/1999,0.004
07/01/1999,0.0038
